,Multiple All,Multiple Fatal,Single All,Single Fatal,Total All,Total Fatal,end_date,start_date,total_reactions,first_react
Aclidinium,0,0,0,0,0,0,2016-02-04,1963-07-01,436,2012-11-26
Aconite,0,0,0,0,0,0,2011-12-10,1963-07-01,10,1995-10-01
Acorus,0,0,0,0,0,0,2014-06-24,1963-07-01,4,
Acrivastine,0,0,0,0,0,0,2016-01-15,1963-07-01,271,1989-02-01
Acrosoxacin,0,0,0,0,0,0,2011-12-13,1963-07-01,3,1982-10-16
Actinidia,0,0,0,0,0,0,2012-06-01,1963-07-01,5,
Activated Protein C Recombinant Human,0,0,0,0,0,0,2011-12-10,1963-07-01,3,2007-09-10
Acyclovir,0,0,4,0,4,0,2016-02-09,1963-07-01,2776,
Adalimumab,0,0,16,0,16,0,2016-02-09,1963-07-01,13070,2000-03-24
Adapalene,0,0,0,0,0,0,2016-02-08,1963-07-01,101,1998-02-19
Adefovir,0,0,0,0,0,0,2014-12-03,1963-07-01,76,1998-06-04
Ademetionine,0,0,0,0,0,0,2009-11-12,1963-07-01,1,2009-07-13
Adenine,0,0,0,0,0,0,2011-12-13,1963-07-01,5,1982-06-01
Adenophora,0,0,0,0,0,0,2012-01-14,1963-07-01,8,1999-08-04
Adenosine,0,0,1,0,1,0,2016-01-15,1963-07-01,180,
Adhesive,0,0,0,0,0,0,2011-12-15,1963-07-01,1,
Adiphenine,0,0,0,0,0,0,2012-02-13,1963-07-01,3,2011-10-17
Adrenaline,2,0,0,0,2,0,2016-02-09,1963-07-01,1945,
Aereca,0,0,0,0,0,0,2012-05-12,1963-07-01,1,
Aesculus,0,0,0,0,0,0,2015-08-21,1963-07-01,18,2000-07-26
Afatinib,0,0,0,0,0,0,2016-01-29,1963-07-01,105,2011-09-17
Aflibercept,0,0,0,0,0,0,2016-01-29,1963-07-01,338,
Agar,0,0,0,0,0,0,2011-12-13,1963-07-01,2,1965-12-26
Agathosma Betulina,0,0,0,0,0,0,2011-12-13,1963-07-01,6,1996-08-21
Agmatine,0,0,0,0,0,0,2015-05-01,1963-07-01,1,2014-10-23
Agomelatine,0,0,2,0,2,0,2015-12-09,1963-07-01,330,2009-08-16
Agrimonia,0,0,0,0,0,0,2011-12-10,1963-07-01,1,2004-01-14
Agropyron Repens,0,0,0,0,0,0,2016-02-01,1963-07-01,14,2008-08-26
Ajmaline,0,0,0,0,0,0,2012-08-22,1963-07-01,3,
Akebia,0,0,0,0,0,0,2012-05-08,1963-07-01,15,2008-04-15
Alanine,0,0,0,0,0,0,2016-02-08,1963-07-01,270,1973-05-01
Alathon Polyethylene Resin,0,0,0,0,0,0,2012-05-08,1963-07-01,2,
Albendazole,0,0,0,0,0,0,2013-11-15,1963-07-01,48,1992-03-19
Albizia Julibrissin,0,0,0,0,0,0,2011-12-10,1963-07-01,1,2004-01-14
Albumin,0,0,0,0,0,0,2016-02-09,1963-07-01,332,
Alclofenac,0,0,0,0,0,0,2012-01-14,1963-07-01,658,1972-04-01
Alclometasone,0,0,0,0,0,0,2015-10-22,1963-07-01,10,1988-05-01
Alcloxa,0,0,0,0,0,0,2011-12-13,1963-07-01,1,1987-10-11
Alcuronium,0,0,0,0,0,0,2015-11-30,1963-07-01,186,1975-06-09
Alectinib,0,0,0,0,0,0,2015-09-21,1963-07-01,4,2015-07-01
Aleglitazar,0,0,0,0,0,0,2014-01-31,1963-07-01,1,2012-07-26
Alemtuzumab,0,0,1,0,1,0,2016-01-29,1963-07-01,1100,
Alendronic Acid,0,0,9,0,9,0,2016-02-09,1963-07-01,6465,
Alexitol,0,0,0,0,0,0,2012-01-17,1963-07-01,2,1965-02-03
Alexitol Sodium,0,0,0,0,0,0,2011-12-13,1963-07-01,2,
Alfentanil,0,0,1,0,1,0,2016-02-08,1963-07-01,308,1984-10-03
Alfuzosin,0,0,1,0,1,0,2015-10-15,1963-07-01,685,1994-05-18
Algae,0,0,0,0,0,0,2013-08-09,1963-07-01,5,2013-07-08
Algae Spirulina,0,0,0,0,0,0,2011-12-10,1963-07-01,1,2003-07-17
Alginic Acid,1,0,0,0,1,0,2015-11-30,1963-07-01,553,1972-02-19
Alglucerase,0,0,1,0,1,0,2014-09-18,1963-07-01,3,1995-05-29
Alglucosidase Alfa,0,0,0,0,0,0,2016-02-08,1963-07-01,353,2007-07-06
Alicaforsen,0,0,0,0,0,0,2013-12-20,1963-07-01,1,
Aliskiren,0,0,1,0,1,0,2015-11-06,1963-07-01,511,2007-09-22
Alitretinoin,0,0,0,0,0,0,2015-11-04,1963-07-01,176,2009-04-25
Allantoin,0,0,0,0,0,0,2015-12-09,1963-07-01,38,1967-12-15
Allium Sativum,0,0,0,0,0,0,2015-12-08,1963-07-01,48,2001-05-17
Allogeneic T Cells Expressing Car 19 And Depleted Of T Cell Receptor Cd52,0,0,0,0,0,0,2015-12-23,1963-07-01,7,2015-08-22
Allopurinol,0,0,1,0,1,0,2016-02-09,1963-07-01,3015,1965-11-20
Allyloestrenol,0,0,0,0,0,0,2011-12-13,1963-07-01,5,1978-04-27
Almasilate,0,0,0,0,0,0,2011-12-13,1963-07-01,2,1984-01-07
Almotriptan,0,0,0,0,0,0,2014-05-20,1963-07-01,38,2001-06-14
Aloe,0,0,0,0,0,0,2015-11-04,1963-07-01,72,1996-12-27
Alogliptin,0,0,0,0,0,0,2016-02-03,1963-07-01,81,
Aloin,0,0,0,0,0,0,2012-05-08,1963-07-01,4,1978-11-07
Aloxiprin,0,0,0,0,0,0,2011-12-13,1963-07-01,34,1965-07-07
Alpha 1 Proteinase Inhibitor,0,0,0,0,0,0,2012-05-12,1963-07-01,6,2010-12-29
Alpha Galactosidase A,0,0,0,0,0,0,2016-02-08,1963-07-01,495,
Alpha Pinene,0,0,0,0,0,0,2011-12-13,1963-07-01,1,1982-12-08
Alphadolone Acetate,0,0,0,0,0,0,2015-11-30,1963-07-01,1238,1972-08-31
Alphaxalone,0,0,0,0,0,0,2015-11-30,1963-07-01,1239,1972-08-31
Alpinia,0,0,0,0,0,0,2015-06-16,1963-07-01,4,
Alprazolam,0,0,1,0,1,0,2015-11-12,1963-07-01,263,1983-01-25
Alprostadil,0,0,1,0,1,0,2016-01-13,1963-07-01,387,1982-07-06
Alseroxylon,0,0,0,0,0,0,2011-12-13,1963-07-01,3,
Alteplase,0,0,0,0,0,0,2015-12-16,1963-07-01,632,1988-09-29
Althaea,0,0,0,0,0,0,2016-01-13,1963-07-01,82,1997-03-15
Althaea Officinalis,0,0,0,0,0,0,2011-12-15,1963-07-01,6,1997-03-15
Altretamine,0,0,0,0,0,0,2012-05-08,1963-07-01,4,1997-09-23
Aluminium Acetate,0,0,0,0,0,0,2011-12-10,1963-07-01,5,2010-05-13
Aluminium Chloride,0,0,0,0,0,0,2015-02-18,1963-07-01,28,1994-01-14
Aluminium Chlorohydrate,0,0,0,0,0,0,2012-05-08,1963-07-01,7,1964-06-02
Aluminium Glycinate,0,0,0,0,0,0,2011-12-13,1963-07-01,6,1965-09-27
Aluminium Hydroxide,1,0,0,0,1,0,2015-11-30,1963-07-01,634,1964-10-16
Aluminium Oxide,0,0,0,0,0,0,2011-12-13,1963-07-01,3,1979-05-07
Aluminium Sodium Silicate,0,0,0,0,0,0,2012-06-01,1963-07-01,4,
Aluminium Stearate,0,0,0,0,0,0,2011-12-13,1963-07-01,1,2010-10-10
Aluminosilicate Mineral,0,0,0,0,0,0,2011-12-10,1963-07-01,1,2004-07-08
Alverine,0,0,1,0,1,0,2015-06-26,1963-07-01,284,1984-10-28
Amantadine,0,0,0,0,0,0,2015-10-15,1963-07-01,506,1970-03-01
Amaranth,0,0,0,0,0,0,2012-09-24,1963-07-01,1,1982-11-25
Ambrisentan,0,0,0,0,0,0,2015-12-31,1963-07-01,122,2009-03-01
Ambroxol,0,0,0,0,0,0,2014-08-28,1963-07-01,5,2014-03-01
Ambucetamide,0,0,0,0,0,0,2011-12-13,1963-07-01,4,1980-08-20
Ambutonium,0,0,0,0,0,0,2012-01-17,1963-07-01,1,1969-02-19
Ambutonium Bromide,0,0,0,0,0,0,2011-12-13,1963-07-01,1,1969-02-19
Amfetamine,0,0,0,0,0,0,2016-02-02,1963-07-01,171,1964-07-02
Amidotrizoic Acid,0,0,1,0,1,0,2016-02-09,1963-07-01,946,
Amifampridine,0,0,0,0,0,0,2013-06-12,1963-07-01,27,2010-07-24
Amifostine,0,0,0,0,0,0,2011-12-13,1963-07-01,3,
Amikacin,0,0,1,0,1,0,2015-07-29,1963-07-01,103,1977-04-28
Amiloride,2,0,0,0,2,0,2016-01-06,1963-07-01,3238,1971-02-10
Amino Acids,0,0,0,0,0,0,2014-10-02,1963-07-01,20,2006-09-09
Aminoacridine,0,0,0,0,0,0,2015-02-24,1963-07-01,30,1971-04-29
Aminobenzoic Acid,0,0,0,0,0,0,2015-08-03,1963-07-01,166,1971-05-05
Aminocaproic Acid,0,0,0,0,0,0,2015-11-30,1963-07-01,126,1969-09-18
Aminoglutethimide,0,0,0,0,0,0,2012-05-12,1963-07-01,289,1978-08-01
Aminophylline,0,0,2,0,2,0,2015-09-29,1963-07-01,798,1965-05-03
Aminosalicylic Acid,0,0,0,0,0,0,2014-05-09,1963-07-01,116,1964-02-01
Aminoxidase,0,0,0,0,0,0,2011-12-13,1963-07-01,1,1986-06-01
Amiodarone,0,0,2,0,2,0,2016-02-08,1963-07-01,5216,1978-02-09
Amiphenazole,0,0,0,0,0,0,2011-12-13,1963-07-01,43,1964-05-15
Amisulpride,0,0,1,0,1,0,2016-02-01,1963-07-01,2257,1996-11-06
Amitriptyline,0,0,13,0,13,0,2016-02-09,1963-07-01,4978,1964-02-04
Amlodipine,6,0,5,0,11,0,2016-02-09,1963-07-01,8586,1989-11-01
Ammi Visnaga,0,0,0,0,0,0,2015-07-21,1963-07-01,3,2006-03-01
Ammonia,0,0,0,0,0,0,2015-10-20,1963-07-01,18,1985-06-23
Ammoniated Mercury,0,0,0,0,0,0,2008-08-26,1963-07-01,3,1983-08-01
Ammonium Acetate,0,0,0,0,0,0,2008-08-26,1963-07-01,6,
Ammonium Bicarbonate,0,0,0,0,0,0,2014-01-31,1963-07-01,4,1973-04-27
Ammonium Bromide,0,0,1,0,1,0,2012-01-14,1963-07-01,4,2007-08-13
Ammonium Carbonate,0,0,0,0,0,0,2012-06-07,1963-07-01,3,1988-06-02
Ammonium Chloride,0,0,0,0,0,0,2015-07-29,1963-07-01,63,1982-10-01
Amodiaquine,0,0,0,0,0,0,2012-05-08,1963-07-01,29,1984-12-03
Amomum,0,0,0,0,0,0,2012-01-19,1963-07-01,9,2007-10-21
Amorolfine,0,0,0,0,0,0,2015-12-24,1963-07-01,77,1991-10-24
Amoxapine,0,0,0,0,0,0,2013-07-11,1963-07-01,268,1989-07-03
Amoxycillin,3,0,1,0,4,0,2016-02-09,1963-07-01,13599,
Amphotericin B,0,0,0,0,0,0,2016-01-22,1963-07-01,1092,1967-04-20
Ampicillin,0,0,1,0,1,0,2015-11-30,1963-07-01,2005,1964-05-25
Amprenavir,0,0,0,0,0,0,2015-09-15,1963-07-01,60,1999-02-15
Amsacrine,0,0,0,0,0,0,2016-02-02,1963-07-01,30,1983-06-26
Amyl Nitrite,0,0,0,0,0,0,2011-12-10,1963-07-01,10,1999-06-01
Amylase,0,0,0,0,0,0,2016-02-03,1963-07-01,64,1984-09-28
Amylmetacresol,0,0,0,0,0,0,2016-01-25,1963-07-01,68,1973-08-13
Amylobarbitone,0,0,0,0,0,0,2013-06-21,1963-07-01,107,1964-05-23
Amylocaine,0,0,0,0,0,0,2011-12-13,1963-07-01,34,1964-06-29
Anacetrapib,0,0,0,0,0,0,2013-03-08,1963-07-01,2,2011-10-01
Anaesthetic Ether,0,0,0,0,0,0,2011-12-10,1963-07-01,7,1992-01-31
Anagrelide,0,0,0,0,0,0,2016-02-02,1963-07-01,260,2003-01-28
Anakinra,0,0,0,0,0,0,2016-01-26,1963-07-01,267,2002-05-01
Anamirta Cocculus,0,0,1,0,1,0,2012-01-14,1963-07-01,4,2007-08-13
Ananas Comosus,0,0,0,0,0,0,2011-12-13,1963-07-01,6,2010-05-01
Anastrozole,0,0,5,0,5,0,2016-02-09,1963-07-01,1555,1995-10-12
Ancrod,0,0,0,0,0,0,2011-12-13,1963-07-01,3,1977-06-15
Andrographis Paniculata,0,0,0,0,0,0,2011-12-10,1963-07-01,3,2004-05-10
Androsta 3 5 Diene 7 17 Dione,0,0,0,0,0,0,2014-06-10,1963-07-01,4,
Anemarrhena,0,0,0,0,0,0,2012-01-19,1963-07-01,14,2007-05-19
Anethum Graveolens,0,0,0,0,0,0,2014-12-15,1963-07-01,16,1994-12-22
Angelica,0,0,0,0,0,0,2016-01-15,1963-07-01,174,2000-07-09
Anidulafungin,0,0,0,0,0,0,2015-12-11,1963-07-01,48,2009-12-11
Aniracetam,0,0,0,0,0,0,2014-08-01,1963-07-01,2,
Anistreplase,0,0,0,0,0,0,2012-05-08,1963-07-01,90,1989-08-02
Antazoline,0,0,0,0,0,0,2015-01-27,1963-07-01,31,1964-07-13
Anthoxanthum,0,0,0,0,0,0,2012-04-12,1963-07-01,7,2012-02-21
Anti D Rho Immunoglobulin,0,0,0,0,0,0,2015-11-20,1963-07-01,345,1991-12-09
Anti Epstein Barr Virus Cytotoxic Lymphocytes,0,0,0,0,0,0,2014-12-16,1963-07-01,9,2012-08-21
Anti Inhibitor Coagulant Complex Dried,0,0,1,0,1,0,2015-10-26,1963-07-01,82,1995-11-15
Anti Kinase Inert Domain Receptor Recombinant Human Ig1 Monoclonal Antibody,0,0,0,0,0,0,2015-10-30,1963-07-01,16,2015-06-20
Antilymphocyte Immunoglobulins,0,0,0,0,0,0,2016-01-12,1963-07-01,412,1985-01-04
Antimony,0,0,0,0,0,0,2015-04-14,1963-07-01,76,1982-05-31
Antithrombin Iii,0,0,0,0,0,0,2011-12-15,1963-07-01,1,
Aphanes Arvensis,0,0,0,0,0,0,2015-12-14,1963-07-01,10,2000-05-27
Aphanizomenon Flos Aquae,0,0,0,0,0,0,2015-10-15,1963-07-01,2,2015-10-01
Apium Graveolens,0,0,0,0,0,0,2012-05-12,1963-07-01,9,2004-05-14
Apixaban,0,0,5,0,5,0,2016-02-09,1963-07-01,1640,
Apomorphine,0,0,1,0,1,0,2016-01-08,1963-07-01,755,1970-05-01
Apraclonidine,0,0,0,0,0,0,2015-12-11,1963-07-01,113,1995-05-04
Aprepitant,0,0,0,0,0,0,2015-09-02,1963-07-01,96,
Aprotinin,0,0,0,0,0,0,2015-07-20,1963-07-01,144,1974-08-20
Ar C69931xx,0,0,0,0,0,0,2016-02-04,1963-07-01,3,
Arachidonic Acid,0,0,0,0,0,0,2011-12-13,1963-07-01,3,2009-04-07
Arachis Hypogea,0,0,0,0,0,0,2016-01-11,1963-07-01,25,1991-04-25
Arachis Oil,0,0,0,0,0,0,2016-01-11,1963-07-01,39,1983-05-24
Aralia Racemosa,0,0,0,0,0,0,2015-07-21,1963-07-01,3,2006-03-01
Arbutamine,0,0,0,0,0,0,2012-05-08,1963-07-01,14,1995-06-08
Arctium,0,0,0,0,0,0,2015-12-17,1963-07-01,50,1987-08-03
Arctium Lappa,0,0,0,0,0,0,2011-12-15,1963-07-01,27,1987-08-03
Arctostaphylos,0,0,0,0,0,0,2015-12-17,1963-07-01,42,1987-08-03
Argania,0,0,0,0,0,0,2012-06-01,1963-07-01,17,
Argatroban,0,0,0,0,0,0,2016-02-09,1963-07-01,10,2012-10-10
Arginine,0,0,0,0,0,0,2016-02-08,1963-07-01,302,1973-05-01
Argipressin,0,0,0,0,0,0,2015-11-03,1963-07-01,5,1984-08-14
Aripiprazole,0,0,5,0,5,0,2016-02-09,1963-07-01,4227,
Arisaema,0,0,0,0,0,0,2011-12-10,1963-07-01,1,
Aristolochia,0,0,0,0,0,0,2012-05-08,1963-07-01,6,
Arnica,0,0,0,0,0,0,2015-12-18,1963-07-01,45,1997-02-20
Arsenic Trioxide,0,0,0,0,0,0,2016-01-27,1963-07-01,37,2003-07-15
Artemether,0,0,0,0,0,0,2015-06-11,1963-07-01,39,2008-05-02
Artemisia Vulgaris,0,0,0,0,0,0,2011-12-10,1963-07-01,4,2003-03-10
Artesunate,0,0,0,0,0,0,2014-11-18,1963-07-01,5,2013-05-10
Articaine,1,0,1,0,2,0,2015-12-14,1963-07-01,502,1999-02-04
Ascorbic Acid,2,0,1,0,3,0,2016-02-04,1963-07-01,1811,1965-02-08
Asenapine,0,0,1,0,1,0,2015-12-09,1963-07-01,79,2012-02-26
Asparaginase,0,0,0,0,0,0,2015-12-21,1963-07-01,324,1970-09-07
Asparagus,0,0,0,0,0,0,2015-05-07,1963-07-01,5,2004-09-24
Aspartame,0,0,0,0,0,0,2014-05-09,1963-07-01,12,
Aspartic Acid,0,0,0,0,0,0,2015-10-30,1963-07-01,68,1975-10-10
Aspirin,0,0,3,0,3,0,2016-02-09,1963-07-01,9185,
Astaxanthin,0,0,0,0,0,0,2015-05-01,1963-07-01,1,2014-10-23
Astemizole,0,0,2,0,2,0,2015-05-12,1963-07-01,696,1983-04-02
Aster Pollen,0,0,0,0,0,0,2012-05-12,1963-07-01,2,
Astragalus,0,0,1,0,1,0,2015-11-06,1963-07-01,49,2005-09-08
Atazanavir,0,0,0,0,0,0,2016-02-02,1963-07-01,626,
Atenolol,2,0,8,0,10,0,2016-02-09,1963-07-01,8650,
Atomoxetine,0,0,3,0,3,0,2016-01-18,1963-07-01,2384,2003-10-13
Atorvastatin,0,0,85,0,85,0,2016-02-08,1963-07-01,9965,
Atosiban,0,0,0,0,0,0,2015-01-22,1963-07-01,13,2002-09-03
Atovaquone,4,0,0,0,4,0,2016-02-09,1963-07-01,1766,1995-01-01
Atractyloides,0,0,1,0,1,0,2013-12-19,1963-07-01,72,2007-10-21
Atracurium,0,0,0,0,0,0,2016-02-08,1963-07-01,1117,1983-01-04
Atropa Belladonna,0,0,0,0,0,0,2015-03-18,1963-07-01,62,1964-10-01
Atropine,0,0,0,0,0,0,2016-02-04,1963-07-01,616,1964-05-30
Attapulgite,0,0,0,0,0,0,2012-05-08,1963-07-01,15,1982-05-02
Autologous Bone Marrow Derived Mesenchymal Stem Cells,0,0,0,0,0,0,2013-02-06,1963-07-01,13,2012-11-26
Avanafil,0,0,0,0,0,0,2015-09-04,1963-07-01,5,2014-05-11
Avena_Sativa,0,0,1,0,1,0,2015-12-08,1963-07-01,30,
Axitinib,0,0,0,0,0,0,2016-02-04,1963-07-01,209,2010-06-20
Azacitidine,0,0,0,0,0,0,2016-01-25,1963-07-01,368,2009-10-20
Azadirachta,0,0,0,0,0,0,2014-06-24,1963-07-01,22,2004-12-12
Azapropazone,0,0,3,0,3,0,2015-11-04,1963-07-01,3160,1976-04-01
Azatadine,0,0,0,0,0,0,2011-12-13,1963-07-01,136,1978-02-01
Azathioprine,0,0,1,0,1,0,2016-02-09,1963-07-01,5162,
Azelaic Acid,0,0,0,0,0,0,2015-12-10,1963-07-01,35,1992-09-15
Azelastine,0,0,0,0,0,0,2016-02-02,1963-07-01,163,1991-10-24
Azilsartan Medoxomil,0,0,0,0,0,0,2013-10-28,1963-07-01,3,2013-08-01
Azithromycin,0,0,0,0,0,0,2016-01-18,1963-07-01,1036,1991-09-10
Azlocillin,0,0,0,0,0,0,2012-11-16,1963-07-01,112,1981-02-16
Aztreonam,0,0,0,0,0,0,2016-01-21,1963-07-01,116,1986-11-02
Bacampicillin,0,0,0,0,0,0,2011-12-13,1963-07-01,60,1980-12-25
Bacitracin,0,0,0,0,0,0,2015-11-30,1963-07-01,51,1966-12-07
Baclofen,0,0,5,0,5,0,2016-02-03,1963-07-01,1736,1972-07-01
Bacopa,0,0,0,0,0,0,2015-09-18,1963-07-01,2,2014-07-15
Balsalazide,0,0,0,0,0,0,2015-09-17,1963-07-01,254,1997-10-12
Bambusa Arundinacea,0,0,0,0,0,0,2014-05-30,1963-07-01,4,1997-09-20
Bambusa Species,0,0,0,0,0,0,2012-05-12,1963-07-01,2,
Bambuterol,0,0,0,0,0,0,2014-01-21,1963-07-01,247,1993-02-17
Bamethan,0,0,0,0,0,0,2011-12-13,1963-07-01,12,1965-02-11
Bamifylline,0,0,0,0,0,0,2011-12-13,1963-07-01,20,1964-06-10
Banisteriopsis Caapi,0,0,0,0,0,0,2011-12-10,1963-07-01,5,2007-01-24
Baptisia Tinctoria,0,0,0,0,0,0,2013-10-22,1963-07-01,1,
Barbital,0,0,0,0,0,0,2011-12-10,1963-07-01,9,1992-01-01
Barium,0,0,1,0,1,0,2015-08-28,1963-07-01,103,1974-03-01
Barosma,0,0,0,0,0,0,2015-12-14,1963-07-01,12,1996-08-21
Basiliximab,0,0,0,0,0,0,2015-12-11,1963-07-01,190,1999-07-08
Bauhinia,0,0,0,0,0,0,2015-09-18,1963-07-01,1,2014-07-15
Becaplermin,0,0,0,0,0,0,2011-12-10,1963-07-01,1,1999-11-14
Beclamide,0,0,0,0,0,0,2015-09-18,1963-07-01,2,
Beclomethasone,0,0,2,0,2,0,2016-01-21,1963-07-01,3507,
Bedaquiline,0,0,0,0,0,0,2014-05-09,1963-07-01,3,
Bee Pollen,0,0,0,0,0,0,2014-03-14,1963-07-01,19,2003-08-06
Bee Venom,0,0,0,0,0,0,2015-02-18,1963-07-01,16,1982-07-06
Beeswax Yellow,0,0,0,0,0,0,2011-12-10,1963-07-01,3,
Belatacept,0,0,0,0,0,0,2015-12-08,1963-07-01,5,2015-01-03
Belimumab,0,0,0,0,0,0,2015-09-15,1963-07-01,20,2013-02-14
Bemiparin,0,0,0,0,0,0,2012-05-12,1963-07-01,1,
Bendamustine,0,0,0,0,0,0,2016-02-09,1963-07-01,214,2010-03-06
Bendrofluazide,1,0,12,0,13,0,2016-02-09,1963-07-01,4176,1964-06-03
Benethamine Penicillin,0,0,0,0,0,0,2011-12-13,1963-07-01,56,1964-07-07
Benorylate,0,0,1,0,1,0,2012-11-16,1963-07-01,1019,1972-04-26
Benoxaprofen,0,0,0,0,0,0,2014-01-27,1963-07-01,5723,1979-05-07
Benperidol,0,0,0,0,0,0,2016-01-20,1963-07-01,54,1973-10-03
Benserazide,2,0,0,0,2,0,2016-02-08,1963-07-01,623,1975-04-15
Benzalkonium,0,0,0,0,0,0,2016-02-03,1963-07-01,241,1966-02-23
Benzbromarone,0,0,0,0,0,0,2015-08-18,1963-07-01,18,2004-12-20
Benzhexol,0,0,3,0,3,0,2015-09-22,1963-07-01,342,1964-06-28
Benziodarone,0,0,0,0,0,0,2011-12-13,1963-07-01,1,
Benznidazole,0,0,0,0,0,0,2011-12-15,1963-07-01,3,2010-06-30
Benzocaine,0,0,0,0,0,0,2015-06-26,1963-07-01,229,1964-06-10
Benzoctamine,0,0,0,0,0,0,2011-12-13,1963-07-01,35,1971-05-26
Benzoic Acid,0,0,0,0,0,0,2012-05-12,1963-07-01,33,1965-10-19
Benzoyl Peroxide,0,0,0,0,0,0,2016-02-08,1963-07-01,543,
Benzthiazide,0,0,0,0,0,0,2011-12-13,1963-07-01,49,1964-10-27
Benztropine,0,0,1,0,1,0,2015-12-07,1963-07-01,67,1964-07-24
Benzydamine,0,0,0,0,0,0,2016-01-22,1963-07-01,315,1975-07-03
Benzyl Alcohol,0,0,0,0,0,0,2015-11-17,1963-07-01,40,1982-12-01
Benzyl Benzoate,0,0,0,0,0,0,2015-10-05,1963-07-01,105,1969-09-25
Benzyl Cinnamate,0,0,0,0,0,0,2015-08-13,1963-07-01,24,1982-12-01
Benzyl Nicotinate,0,0,0,0,0,0,2012-11-05,1963-07-01,28,1969-03-13
Benzylpenicillin,0,0,0,0,0,0,2016-02-04,1963-07-01,932,1964-04-01
Bephenium,0,0,0,0,0,0,2011-12-13,1963-07-01,1,1986-12-12
Berberis,0,0,0,0,0,0,2012-05-12,1963-07-01,13,
Beta,0,0,0,0,0,0,2012-01-17,1963-07-01,4,2010-07-01
Beta Alanine,0,0,0,0,0,0,2016-02-04,1963-07-01,19,2012-11-12
Beta Carotene,0,0,0,0,0,0,2014-09-18,1963-07-01,46,1998-10-26
Betahistine,0,0,1,0,1,0,2016-01-27,1963-07-01,686,1971-03-01
Betaine,0,0,0,0,0,0,2015-05-01,1963-07-01,26,1990-07-28
Betamethasone,1,0,0,0,1,0,2016-02-08,1963-07-01,1169,1964-03-01
Betaxolol,0,0,1,0,1,0,2015-08-26,1963-07-01,152,1984-10-01
Bethanechol,0,0,0,0,0,0,2011-12-13,1963-07-01,15,1977-09-01
Bethanidine,0,0,1,0,1,0,2014-12-31,1963-07-01,104,1965-01-23
Betiatide,0,0,0,0,0,0,2015-02-11,1963-07-01,33,1993-09-27
Betula,0,0,0,0,0,0,2015-12-18,1963-07-01,19,1982-03-25
Bevacizumab,0,0,0,0,0,0,2016-02-09,1963-07-01,1367,
Bexarotene,0,0,0,0,0,0,2014-03-14,1963-07-01,27,2003-01-31
Bezafibrate,0,0,2,0,2,0,2016-02-03,1963-07-01,1479,1981-11-01
Bicalutamide,0,0,1,0,1,0,2016-02-09,1963-07-01,547,
Bifidobacterium,0,0,0,0,0,0,2011-12-10,1963-07-01,5,2009-12-01
Bifonazole,0,0,0,0,0,0,2015-09-30,1963-07-01,26,2015-08-05
Bile Salts,0,0,0,0,0,0,2014-09-25,1963-07-01,7,2014-09-15
Bimatoprost,2,0,1,0,3,0,2016-01-06,1963-07-01,420,2002-10-11
