,amnesia,total,ratio
Amifostine,138.0,30000.0,0.0046
Amikacin,486.0,167000.0,0.00291017964072
Amiloride,539.0,103000.0,0.00523300970874
Amino Acids,25400.0,7770000.0,0.00326898326898
Aminoacridine,48.0,10700.0,0.00448598130841
Aminobenzoic Acid,332.0,94900.0,0.00349841938883
Aminocaproic Acid,272.0,40200.0,0.00676616915423
Aminoglutethimide,174.0,16400.0,0.0106097560976
Aminophylline,1190.0,66600.0,0.0178678678679
Aminosalicylic Acid,151.0,45600.0,0.00331140350877
Aminoxidase,0.0,466.0,0.0
Amiodarone,3750.0,284000.0,0.0132042253521
Amiphenazole,17000.0,1230.0,13.8211382114
Amisulpride,608.0,55400.0,0.0109747292419
Amitriptyline,14800.0,374000.0,0.0395721925134
Amlodipine,10700.0,306000.0,0.0349673202614
Ammi Visnaga,87.0,17000.0,0.00511764705882
Ammonia,8850.0,2670000.0,0.00331460674157
Ammoniated Mercury,52.0,3930.0,0.0132315521628
Ammonium Acetate,2130.0,762000.0,0.00279527559055
Ammonium Bicarbonate,3570.0,260000.0,0.0137307692308
Ammonium Bromide,1020.0,327000.0,0.00311926605505
Ammonium Carbonate,1880.0,359000.0,0.00523676880223
Ammonium Chloride,4050.0,940000.0,0.0043085106383
Amodiaquine,106.0,25900.0,0.00409266409266
Amomum,293.0,34400.0,0.00851744186047
Amorolfine,16.0,11300.0,0.00141592920354
Amoxapine,519.0,21700.0,0.0239170506912
Amoxycillin,23000.0,69300.0,0.33189033189
Amphotericin B,1340.0,266000.0,0.00503759398496
Ampicillin,16000.0,907000.0,0.0176405733186
Amprenavir,1560.0,28900.0,0.0539792387543
Amsacrine,23.0,11300.0,0.00203539823009
Amyl Nitrite,770.0,40900.0,0.018826405868
Amylase,3230.0,554000.0,0.00583032490975
Amylmetacresol,2.0,2730.0,0.000732600732601
Amylobarbitone,94.0,2780.0,0.0338129496403
Amylocaine,18.0,974.0,0.0184804928131
Anacetrapib,32.0,5930.0,0.00539629005059
Anaesthetic Ether,3910.0,22600.0,0.173008849558
Anagrelide,133.0,15500.0,0.00858064516129
Anakinra,151.0,47200.0,0.00319915254237
Anamirta Cocculus,33.0,3670.0,0.00899182561308
Ananas Comosus,96.0,57600.0,0.00166666666667
Anastrozole,6720.0,147000.0,0.0457142857143
Ancrod,396000.0,5470.0,72.39488117
Andrographis Paniculata,197.0,46700.0,0.00421841541756
Androsta 3 5 Diene 7 17 Dione,24.0,3350.0,0.00716417910448
Anemarrhena,74.0,10400.0,0.00711538461538
Anethum Graveolens,181.0,44000.0,0.00411363636364
Angelica,48300.0,8640000.0,0.00559027777778
Anidulafungin,72.0,17100.0,0.00421052631579
Aniracetam,7220.0,35700.0,0.202240896359
Anistreplase,24.0,5010.0,0.00479041916168
Antazoline,33.0,5980.0,0.00551839464883
Anthoxanthum,35.0,23500.0,0.00148936170213
Anti D Rho Immunoglobulin,88.0,29800.0,0.00295302013423
Anti Epstein Barr Virus Cytotoxic Lymphocytes,124.0,47600.0,0.00260504201681
Anti Inhibitor Coagulant Complex Dried,469.0,29600.0,0.0158445945946
Anti Kinase Inert Domain Receptor Recombinant Human Ig1 Monoclonal Antibody,0.0,7.0,0.0
Antilymphocyte Immunoglobulins,34.0,8440.0,0.00402843601896
Antimony,1440.0,397000.0,0.00362720403023
Antithrombin Iii,1640.0,101000.0,0.0162376237624
Aphanes Arvensis,24.0,3670.0,0.00653950953678
Aphanizomenon Flos Aquae,61.0,16300.0,0.00374233128834
Apium Graveolens,142.0,53200.0,0.00266917293233
Apixaban,266.0,73200.0,0.00363387978142
Apomorphine,1970.0,73200.0,0.026912568306
Apraclonidine,75.0,12000.0,0.00625
Aprepitant,1890.0,36400.0,0.0519230769231
Aprotinin,611.0,258000.0,0.00236821705426
Ar C69931xx,3.0,24.0,0.125
Arachidonic Acid,1810.0,357000.0,0.0050700280112
Arachis Hypogea,58.0,12200.0,0.00475409836066
Arachis Oil,6590.0,41100.0,0.160340632603
Aralia Racemosa,43.0,13500.0,0.00318518518519
Arbutamine,8.0,2360.0,0.00338983050847
Arctium,109.0,84100.0,0.00129607609988
Arctium Lappa,106.0,61300.0,0.00172920065253
Arctostaphylos,1100.0,67300.0,0.0163447251114
Argania,30.0,134000.0,0.000223880597015
Argatroban,190.0,26200.0,0.00725190839695
Arginine,5810.0,1720000.0,0.00337790697674
Argipressin,13.0,1120.0,0.0116071428571
Aripiprazole,17300.0,122000.0,0.141803278689
Arisaema,126.0,55500.0,0.00227027027027
Aristolochia,272.0,101000.0,0.00269306930693
Arnica,1530.0,851000.0,0.00179788484136
Arsenic Trioxide,2390.0,66000.0,0.0362121212121
Artemether,151.0,44900.0,0.00336302895323
Artemisia Vulgaris,286.0,111000.0,0.00257657657658
Artesunate,129.0,49600.0,0.00260080645161
Articaine,158.0,15300.0,0.0103267973856
Ascorbic Acid,18200.0,4880000.0,0.00372950819672
Asenapine,405.0,16300.0,0.0248466257669
Asparaginase,172.0,61200.0,0.00281045751634
Asparagus,5630.0,2700000.0,0.00208518518519
Aspartame,2240.0,481000.0,0.00465696465696
Aspartic Acid,15000.0,476000.0,0.031512605042
Aspirin,24900.0,2850000.0,0.00873684210526
Astaxanthin,214.0,319000.0,0.000670846394984
Astemizole,946.0,23900.0,0.0395815899582
Aster Pollen,2340.0,83200.0,0.028125
Astragalus,1250.0,294000.0,0.00425170068027
Atazanavir,1120.0,85500.0,0.0130994152047
Atenolol,8840.0,463000.0,0.0190928725702
Atomoxetine,18000.0,83600.0,0.215311004785
Atorvastatin,14600.0,317000.0,0.0460567823344
Atosiban,67.0,9840.0,0.00680894308943
Atovaquone,223.0,36600.0,0.00609289617486
Atractyloides,196.0,885.0,0.221468926554
Atracurium,1340.0,42200.0,0.0317535545024
Atropa Belladonna,553.0,48400.0,0.0114256198347
Atropine,19900.0,363000.0,0.0548209366391
Attapulgite,16.0,31500.0,0.000507936507937
Autologous Bone Marrow Derived Mesenchymal Stem Cells,134.0,75500.0,0.00177483443709
Avanafil,3850.0,72900.0,0.0528120713306
Avena_Sativa,129.0,151000.0,0.000854304635762
Axitinib,53.0,29800.0,0.00177852348993
Azacitidine,99.0,31600.0,0.00313291139241
Azadirachta,7230.0,118000.0,0.0612711864407
Azapropazone,235.0,4260.0,0.0551643192488
Azatadine,300.0,6110.0,0.0490998363339
Azathioprine,6680.0,255000.0,0.0261960784314
Azelaic Acid,149.0,72600.0,0.0020523415978
Azelastine,258.0,36000.0,0.00716666666667
Azilsartan Medoxomil,58.0,6490.0,0.00893682588598
Azithromycin,7930.0,479000.0,0.0165553235908
Azlocillin,168.0,9270.0,0.0181229773463
Aztreonam,129.0,65900.0,0.00195751138088
Bacampicillin,13.0,5050.0,0.00257425742574
Bacitracin,336.0,110000.0,0.00305454545455
Baclofen,12200.0,275000.0,0.0443636363636
Bacopa,2220.0,224000.0,0.00991071428571
Balsalazide,39.0,10900.0,0.00357798165138
Bambusa Arundinacea,64.0,15600.0,0.00410256410256
Bambusa Species,58.0,24700.0,0.00234817813765
Bambuterol,80.0,8630.0,0.00926998841251
Bamethan,4.0,984.0,0.00406504065041
Bamifylline,4.0,1060.0,0.00377358490566
Banisteriopsis Caapi,509.0,17500.0,0.0290857142857
Baptisia Tinctoria,107.0,9940.0,0.0107645875252
Barbital,1400.0,56500.0,0.0247787610619
Barium,13400.0,998000.0,0.0134268537074
Barosma,12.0,5220.0,0.00229885057471
Basiliximab,90.0,25200.0,0.00357142857143
Bauhinia,323.0,184000.0,0.00175543478261
Becaplermin,16.0,5120.0,0.003125
Beclamide,19200.0,1150.0,16.6956521739
Beclomethasone,169.0,60800.0,0.00277960526316
Bedaquiline,37.0,11300.0,0.00327433628319
Bee Pollen,1710.0,946000.0,0.00180761099366
Bee Venom,11100.0,521000.0,0.0213051823417
Beeswax Yellow,641.0,792000.0,0.000809343434343
Belatacept,24.0,17300.0,0.00138728323699
Belimumab,55.0,19800.0,0.00277777777778
Bemiparin,15.0,3450.0,0.00434782608696
Bendamustine,70.0,31000.0,0.00225806451613
Bendrofluazide,121.0,5670.0,0.0213403880071
Benethamine Penicillin,5.0,477.0,0.0104821802935
Benorylate,10.0,1610.0,0.00621118012422
Benoxaprofen,9.0,5080.0,0.00177165354331
Benperidol,37.0,4380.0,0.00844748858447
Benserazide,209.0,35400.0,0.00590395480226
Benzalkonium,148.0,95200.0,0.00155462184874
Benzbromarone,19.0,8370.0,0.00227001194743
Benzhexol,716.0,6140.0,0.11661237785
Benziodarone,5.0,1300.0,0.00384615384615
Benznidazole,26.0,10900.0,0.00238532110092
Benzocaine,734.0,84900.0,0.00864546525324
Benzoctamine,40.0,714.0,0.0560224089636
Benzoic Acid,1030.0,427000.0,0.00241217798595
Benzoyl Peroxide,437.0,247000.0,0.00176923076923
Benzthiazide,16.0,3380.0,0.00473372781065
Benztropine,1730.0,28900.0,0.0598615916955
Benzydamine,92.0,13000.0,0.00707692307692
Benzyl Alcohol,1240.0,835000.0,0.00148502994012
Benzyl Benzoate,243.0,138000.0,0.00176086956522
Benzyl Cinnamate,22.0,17600.0,0.00125
Benzyl Nicotinate,29.0,7530.0,0.00385126162019
Benzylpenicillin,19800.0,51800.0,0.382239382239
Bephenium,5.0,1300.0,0.00384615384615
Berberis,399.0,264000.0,0.00151136363636
Beta,371000.0,70300000.0,0.0052773826458
Beta Alanine,2130.0,806000.0,0.00264267990074
Beta Carotene,3320.0,750000.0,0.00442666666667
Betahistine,11100.0,54700.0,0.202925045704
Betaine,648.0,435000.0,0.00148965517241
Betamethasone,4630.0,168000.0,0.0275595238095
Betaxolol,184.0,29700.0,0.00619528619529
Bethanechol,3590.0,24900.0,0.144176706827
Bethanidine,122.0,2080.0,0.0586538461538
Betiatide,0.0,152.0,0.0
Betula,194.0,548000.0,0.00035401459854
Bevacizumab,2560.0,259000.0,0.00988416988417
Bexarotene,83.0,17600.0,0.00471590909091
Bezafibrate,90.0,24300.0,0.0037037037037
Bicalutamide,208.0,60200.0,0.00345514950166
Bifidobacterium,242.0,251000.0,0.000964143426295
Bifonazole,9.0,8430.0,0.00106761565836
Bile Salts,20000.0,676000.0,0.0295857988166
Bimatoprost,3640.0,130000.0,0.028
Biotin,15400.0,1690000.0,0.0091124260355
Biperiden,447.0,18100.0,0.0246961325967
Bisacodyl,203.0,64200.0,0.00316199376947
Bismuth,1840.0,724000.0,0.00254143646409
Bisoprolol,3220.0,138000.0,0.0233333333333
Bitrex Solution,21.0,4070.0,0.00515970515971
Bitter Orange Flavour,9600.0,763000.0,0.0125819134993
Bivalirudin,149.0,29000.0,0.00513793103448
Black Pepper,50400.0,29100000.0,0.00173195876289
Bleomycin,503.0,169000.0,0.00297633136095
Bletilla,22.0,32600.0,0.000674846625767
Blinatumomab,25.0,14500.0,0.00172413793103
Blood,612000.0,86100000.0,0.00710801393728
Boceprevir,672.0,37700.0,0.017824933687
Bonemeal,262.0,125000.0,0.002096
Borago,134.0,85300.0,0.00157092614302
Borax,3340.0,566000.0,0.00590106007067
Boric Acid,555.0,424000.0,0.00130896226415
Borneol,216.0,62700.0,0.00344497607656
Boron,2800.0,1530000.0,0.00183006535948
Bortezomib,2190.0,130000.0,0.0168461538462
Bosentan,384.0,64800.0,0.00592592592593
Bosutinib,69.0,22000.0,0.00313636363636
Boswellia Sacra,79.0,15000.0,0.00526666666667
Bovine Gallstone,195.0,7660.0,0.0254569190601
Bovine Part Unspecified,64.0,9670.0,0.00661840744571
Bovine Thyroid Gland,7160.0,55700.0,0.128545780969
Brassica,1020.0,663000.0,0.00153846153846
Brentuximab Vedotin,115.0,21500.0,0.0053488372093
Bretylium,145.0,12400.0,0.0116935483871
Brimonidine,276.0,33300.0,0.00828828828829
Brincidofovir,29.0,4090.0,0.00709046454768
Brinzolamide,71.0,16200.0,0.00438271604938
Bromazepam,6000.0,70200.0,0.0854700854701
Bromelains,209.0,190000.0,0.0011
Bromfenac,44.0,10800.0,0.00407407407407
Bromhexine,49.0,35200.0,0.00139204545455
Bromocriptine,2410.0,114000.0,0.0211403508772
Brompheniramine,948.0,16100.0,0.0588819875776
Buclizine,37.0,3670.0,0.0100817438692
Budesonide,520.0,142000.0,0.00366197183099
Bufexamac,14.0,4180.0,0.00334928229665
Bumetanide,374.0,39300.0,0.0095165394402
Bupivacaine,2150.0,130000.0,0.0165384615385
Bupleurum,504.0,69800.0,0.00722063037249
Buprenorphine,4980.0,255000.0,0.0195294117647
Bupropion,16100.0,307000.0,0.0524429967427
Buserelin,56.0,24800.0,0.00225806451613
Buspirone,5400.0,122000.0,0.044262295082
Busulphan,150.0,13100.0,0.0114503816794
Butane,1990.0,970000.0,0.00205154639175
Butea Superba,210.0,26900.0,0.00780669144981
Butenafine,18.0,10000.0,0.0018
Butethamate,1.0,83.0,0.0120481927711
Butobarbitone,111.0,745.0,0.148993288591
Butorphanol,1100.0,41500.0,0.0265060240964
Butriptyline,10400.0,1790.0,5.81005586592
Butyl Aminobenzoate,14.0,6850.0,0.00204379562044
Butyl Hydroxybenzoate,29.0,11700.0,0.00247863247863
Butylated Hydroxytoluene,309.0,76500.0,0.00403921568627
Cabazitaxel,100.0,23700.0,0.0042194092827
Cabergoline,5020.0,82100.0,0.0611449451888
Cadexomer Iodine,22.0,3670.0,0.00599455040872
Caffeine,31100.0,4910000.0,0.00633401221996
Calamine,363.0,205000.0,0.00177073170732
Calamus,1510.0,189000.0,0.00798941798942
Calcipotriol,46.0,28100.0,0.00163701067616
Calcitonin,1400.0,243000.0,0.00576131687243
Calcium,43800.0,11400000.0,0.00384210526316
Calcium Hydroxide,1630.0,964000.0,0.00169087136929
Calcium Iodide,649.0,302000.0,0.00214900662252
Calcium Magnesium Carbonate,2530.0,369000.0,0.00685636856369
Calcium Sulphate,7780.0,2510.0,3.09960159363
Calendula,4750.0,931000.0,0.00510204081633
Calotropis,159.0,56700.0,0.00280423280423
Camelia Sinensis,495.0,39700.0,0.0124685138539
Camphene,99.0,30700.0,0.00322475570033
Camphor,1730.0,462000.0,0.00374458874459
Canagliflozin,138.0,45800.0,0.00301310043668
Canakinumab,27.0,15300.0,0.00176470588235
Cananga Odorata,68.0,45100.0,0.00150776053215
Candesartan,618.0,91700.0,0.00673936750273
Cannabidiol,4840.0,190000.0,0.0254736842105
Cannabis Sativa,45500.0,558000.0,0.081541218638
Canrenoic Acid,22.0,1180.0,0.0186440677966
Cantharides,37.0,12400.0,0.00298387096774
Cantharidin,44.0,15500.0,0.00283870967742
Capecitabine,1890.0,118000.0,0.0160169491525
Capreomycin,110.0,34600.0,0.00317919075145
Capric Acid,877.0,139000.0,0.00630935251799
Caprine Serum Polyclonal Antibodies,814.0,632000.0,0.00128797468354
Capsaicin,2420.0,315000.0,0.00768253968254
Capsicum,987.0,947000.0,0.00104223864836
Capsinoids,2.0,2920.0,0.000684931506849
Captopril,1760.0,212000.0,0.00830188679245
Carbachol,1030.0,63600.0,0.0161949685535
Carbamazepine,23500.0,360000.0,0.0652777777778
Carbaryl,91.0,54200.0,0.00167896678967
Carbenicillin,61.0,50900.0,0.00119842829077
Carbenoxolone,171.0,13600.0,0.0125735294118
Carbetocin,35.0,3580.0,0.00977653631285
Carbidopa,1670.0,86200.0,0.019373549884
Carbimazole,125.0,26900.0,0.0046468401487
Carbinoxamine,87.0,7300.0,0.0119178082192
Carbocisteine,29.0,10300.0,0.00281553398058
Carbohydrates,18000.0,5900000.0,0.00305084745763
Carbomer,152.0,188000.0,0.000808510638298
Carbon,57500.0,37600000.0,0.00152925531915
Carbon 13,38200.0,38100000.0,0.00100262467192
Carbon Dioxide,44300.0,5050000.0,0.00877227722772
Carboplatin,2330.0,220000.0,0.0105909090909
Carboprost,27.0,5590.0,0.00483005366726
Carbromal,115.0,9970.0,0.0115346038114
Carbuterol,3370.0,1540.0,2.18831168831
Cardiospermum,63.0,24300.0,0.00259259259259
Carfecillin,3310.0,460.0,7.19565217391
Carfilzomib,31.0,23600.0,0.00131355932203
Carglumic Acid,37.0,1960.0,0.0188775510204
Carica,9970.0,7560000.0,0.00131878306878
Carisoprodol,117000.0,86300.0,1.35573580533
Carmellose,49.0,12200.0,0.00401639344262
Carmustine,150.0,38800.0,0.00386597938144
Carteolol,117.0,12000.0,0.00975
Carthamus,125.0,92100.0,0.0013572204126
Carum,204.0,95300.0,0.00214060860441
Carum Carvi,139.0,38400.0,0.00361979166667
Carvedilol,5290.0,133000.0,0.0397744360902
Casearia,196.0,92000.0,0.00213043478261
Casein,1360.0,1070000.0,0.00127102803738
Caspofungin,91.0,40000.0,0.002275
Cassia,6600.0,2860000.0,0.00230769230769
Cat Hair,277000.0,39700000.0,0.00697732997481
Catalase,1800.0,560000.0,0.00321428571429
Catechu,432.0,60400.0,0.00715231788079
Catha,4820.0,62000.0,0.0777419354839
Caulophyllum,28.0,21000.0,0.00133333333333
Causticum,46.0,24200.0,0.00190082644628
Cedrus,273.0,185000.0,0.00147567567568
Cefaclor,384.0,65700.0,0.00584474885845
Cefadroxil,137.0,69500.0,0.00197122302158
Cefalexin,3020.0,27000.0,0.111851851852
Cefixime,425.0,131000.0,0.00324427480916
Cefotaxime,214.0,112000.0,0.00191071428571
Cefoxitin,83.0,54300.0,0.00152854511971
Cefpirome,8.0,11600.0,0.000689655172414
Cefpodoxime,84.0,46700.0,0.00179871520343
Cefsulodin,4.0,6470.0,0.000618238021638
Ceftazidime,237.0,112000.0,0.00211607142857
Ceftibuten,18.0,11800.0,0.00152542372881
Ceftizoxime,22.0,12300.0,0.00178861788618
Ceftriaxone,2230.0,218000.0,0.0102293577982
Cefuroxime,698.0,154000.0,0.00453246753247
Celecoxib,1760.0,229000.0,0.00768558951965
Celiprolol,45.0,11000.0,0.00409090909091
Cellulase,5550.0,205000.0,0.0270731707317
Cellulose,5670.0,3320000.0,0.0017078313253
Centaurium Erythraea,51.0,17600.0,0.00289772727273
Centella,2770.0,499000.0,0.00555110220441
Cephaelis Ipecacuanha,36.0,5110.0,0.00704500978474
Cephaloridine,18900.0,10800.0,1.75
Cephalothin,45.0,35100.0,0.00128205128205
Cephamandole,43.0,744.0,0.0577956989247
Cephazolin,406.0,7190.0,0.0564673157163
Cephradine,27.0,11600.0,0.0023275862069
Ceratonia,28.0,47300.0,0.000591966173362
Cercis,139.0,118000.0,0.00117796610169
Ceresin,8.0,24300.0,0.000329218106996
Cerivastatin,1670.0,19900.0,0.0839195979899
Certolizumab,411.0,34500.0,0.0119130434783
Certoparin,16.0,2950.0,0.00542372881356
Cetalkonium,2.0,1820.0,0.0010989010989
Cetirizine,1220.0,151000.0,0.00807947019868
Cetostearyl Alcohol,217.0,12600.0,0.0172222222222
Cetostearyl Sulphate,87.0,2450.0,0.0355102040816
Cetrimide,22.0,24900.0,0.000883534136546
Cetrorelix,26.0,15200.0,0.00171052631579
Cetuximab,378.0,128000.0,0.002953125
Cetyl Alcohol,183.0,218000.0,0.000839449541284
Cetylpyridinium,21.0,35900.0,0.00058495821727
Chaenomeles,44.0,89600.0,0.000491071428571
Chalk,16900.0,8680000.0,0.00194700460829
Chamaelirium,5.0,3450.0,0.00144927536232
Chamaelirium Luteum,20.0,2810.0,0.00711743772242
Chamaemulum_Nobile,0.0,21.0,0.0
Characterised Viable Autologous Cartilage Cells Expanded Ex Vivo Expressing Specific Marker Proteins,3.0,3530.0,0.000849858356941
Charcoal Activated,3770.0,955000.0,0.00394764397906
Chelidonium,68.0,61700.0,0.00110210696921
Chenodeoxycholic Acid,260.0,21800.0,0.0119266055046
Chimaphila,10.0,12400.0,0.000806451612903
Chimeric Human Murine Monoclonal Antibody Cac10 Anti Cd30 Linked To Cytotoxic Molecule Sgd 1006,0.0,3.0,0.0
Chitin,650.0,309000.0,0.00210355987055
Chitosan,1480.0,590000.0,0.00250847457627
Chloral Hydrate,2860.0,87600.0,0.0326484018265
Chlorambucil,97.0,60900.0,0.00159277504105
Chloramphenicol,1160.0,466000.0,0.00248927038627
Chlorbutol,119.0,1760.0,0.0676136363636
Chlordiazepoxide,4930.0,81600.0,0.0604166666667
Chlorella,364.0,639000.0,0.000569640062598
Chlorhexidine,1300.0,239000.0,0.00543933054393
Chloride Ion,15700.0,2170000.0,0.00723502304147
Chlorin E6,59.0,7510.0,0.00785619174434
Chlorine Dioxide,511.0,317000.0,0.0016119873817
Chlormadinone,8.0,8190.0,0.000976800976801
Chlormethiazole,110.0,4430.0,0.0248306997743
Chlormethine,72.0,2460.0,0.0292682926829
Chlormezanone,125.0,2980.0,0.0419463087248
Chlorocresol,5.0,6780.0,0.000737463126844
Chloroform,7160.0,1540000.0,0.00464935064935
Chlorophyll,3590.0,1110000.0,0.00323423423423
Chlorophytum,136.0,67000.0,0.00202985074627
Chloroquine,15200.0,210000.0,0.072380952381
Chlorothiazide,11600.0,22900.0,0.506550218341
Chlorothymol,4.0,1180.0,0.00338983050847
Chloroxylenol,16.0,11000.0,0.00145454545455
Chlorphenesin,96.0,45500.0,0.00210989010989
Chlorpheniramine,952.0,89400.0,0.0106487695749
Chlorphentermine,30300.0,3250.0,9.32307692308
Chlorpromazine,5750.0,176000.0,0.0326704545455
Chlorpropamide,270.0,28000.0,0.00964285714286
Chlorprothixene,141.0,6410.0,0.0219968798752
Chlorquinaldol,4.0,2030.0,0.00197044334975
Chlortetracycline,39.0,31200.0,0.00125
Chlorthalidone,165.0,39900.0,0.00413533834586
Cholestyramine,542.0,62000.0,0.00874193548387
Choline,7430.0,775000.0,0.00958709677419
Choline Theophyllinate,9.0,1250.0,0.0072
